Created Date,Service Item UUID,Service Item Category,Service Item Name,Duration (HH:MM),eRequest,Default Priority,Tag,Status,,
06 Sep 2024,027ffc57-3371-411e-a27c-a0789afbd207,Amenities,Tea bags,00:20,No,Medium,HSK,Active,,
06 Sep 2024,ef078445-69ce-4baf-8741-349a82722bff,Conceirge,Box for packing - big or small,00:20,No,Medium,CONC,Active,,
06 Sep 2024,1026140f-a49c-40c6-97d2-526b963727fd,Laundry,Shirts and Pants ironed.,00:20,No,Medium,LDY,Active,,
06 Sep 2024,ee88798d-87cf-4863-8186-255c0478af29,Amenities,Hand soap,00:20,No,Medium,HSK,Active,,
06 Sep 2024,c9b2cde9-108a-4a4a-a5cb-992fbc035bfc,Maintenance,Standing lamp faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,ede88392-26e8-4446-9cc2-60ac89492e3a,Amenities,Cutlery,00:20,No,Medium,HSK,Active,,
06 Sep 2024,327bb6e4-ec64-453b-a069-438975cb92bc,Amenities,Tea bags Chinese - Jasmine,00:20,No,Medium,HSK,Active,,
06 Sep 2024,c9adb54f-4cb9-4207-8179-a5d95a7fe116,Amenities,Shaving kit,00:20,No,Medium,HSK,Active,,
06 Sep 2024,335552ac-3563-4fc4-9d92-fa44b076da30,Amenities,Cigar lighter,00:20,No,Medium,HSK,Active,,
06 Sep 2024,33876f7f-ac25-4e7b-9f12-e4f80a631478,Maintenance,The fridge or mini bar is not working,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,33886226-7146-4a95-9a3b-9f2ce0560958,Amenities,Bottled Water,00:20,No,Medium,HSK,Active,,
06 Sep 2024,c8fe4b57-a99c-4f47-9095-74d65cd32b1a,Amenities,Air purifier,00:20,No,Medium,HSK,Active,,
06 Sep 2024,341516a3-3e86-4df5-b14f-646ff635d354,Amenities,Ice cubes,00:20,No,Medium,HSK,Active,,
06 Sep 2024,fc6cf799-98a7-48a6-9a6a-fa7caa4aa169,Amenities,Instant coffee packets,00:20,No,Medium,HSK,Active,,
06 Sep 2024,00534e5e-1926-4b67-bc1b-118ec3bfaa88,Amenities,Additional bedroom suggestions,00:20,No,Medium,HSK,Active,,
06 Sep 2024,ed8d2038-bdc5-47e8-9198-2d99b2a2fb84,Amenities,Mugs,00:20,No,Medium,HSK,Active,,
06 Sep 2024,fbe9e00d-9d11-42e5-9340-0231f1cbdec8,Amenities,Baby cot,00:20,No,Medium,HSK,Active,,
06 Sep 2024,fb85cd5a-7040-499b-947c-9a6c2f26fa36,Amenities,Sanitary pads and bags,00:20,No,Medium,HSK,Active,,
06 Sep 2024,062ae911-7992-4fde-b6fb-0da1153371da,Maintenance,Hand bidet is leaking,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,ed645c8a-9b5a-43a0-a90e-03279ed6b3bb,Amenities,Writing paper,00:20,No,Medium,HSK,Active,,
06 Sep 2024,3681be16-fa60-457b-98e5-7a3541c5f436,Amenities,Vanity kit,00:20,No,Medium,HSK,Active,,
06 Sep 2024,379c4602-4d33-4237-aef2-b64781f3e399,Maintenance,Iron Faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,06868a8e-2d71-4d7e-9a5a-7b723569d773,Maintenance,Bidet is not working,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,38337068-a869-45f3-b5e2-6e27d6f8f2bd,Amenities,Hair brush,00:20,No,Medium,HSK,Active,,
06 Sep 2024,fb786912-26a1-4227-a24c-b35b285e5354,Amenities,Bath towel replaced,00:20,No,Medium,HSK,Active,,
06 Sep 2024,38ceba1f-5adc-4230-a492-5638a969c4a0,Maintenance,Cannot connect to hotel wifi,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,394c5bb8-c5b8-429b-b966-1641d64ec5e2,Amenities,Sugar Sachet - Raw,00:20,No,Medium,HSK,Active,,
06 Sep 2024,ed4709ff-5da3-4df5-be25-0676e72b97d4,Amenities,Bath robe,00:20,No,Medium,HSK,Active,,
06 Sep 2024,39cbe3a8-fcad-4af0-ad8e-76844e938e59,Maintenance,Connecting door faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,c03bed06-3138-4b04-845f-4028bf74c992,Amenities,Milk bottle warmer,00:20,No,Medium,HSK,Active,,
06 Sep 2024,ec9aa972-06af-48b4-ad86-f8ee89a95e25,Amenities,Room Air freshener,00:20,No,Medium,HSK,Active,,
06 Sep 2024,3b985b0b-deaa-42bf-974f-243f46daf29b,Amenities,Extra blanket,00:20,No,Medium,HSK,Active,,
06 Sep 2024,13a0faf3-94b9-4045-b0f9-a78b75273599,Amenities,Nail clipper,00:20,No,Medium,HSK,Active,,
06 Sep 2024,bfa9e8f5-ab24-4af4-93f7-9bd6b0ac8423,Amenities,Tissue paper,00:20,No,Medium,HSK,Active,,
06 Sep 2024,3ddd7c03-6612-41ad-8727-d088a318353b,Amenities,Milk - Soy,00:20,No,Medium,HSK,Active,,
06 Sep 2024,3e0cdc5b-2f13-4b46-ab6c-7f83b67017ed,RoomService,Room service cart removal,00:20,No,Medium,RS,Active,,
06 Sep 2024,3e6229f0-affa-45ac-bbb4-ac8a5e0c31e2,Amenities,USB-C charging cable,00:20,No,Medium,HSK,Active,,
06 Sep 2024,bee9b456-940b-4675-909d-41d4647de764,Amenities,Iron & ironing board,00:20,No,Medium,HSK,Active,,
06 Sep 2024,bebba2eb-cec6-42b1-b460-6505e89fb7a0,Amenities,Detergent,00:20,No,Medium,HSK,Active,,
06 Sep 2024,be786f44-443d-40cb-bcc6-4db5116e646c,Amenities,Bottle opener,00:20,No,Medium,HSK,Active,,
06 Sep 2024,bd9eb1ab-d028-401a-afe6-11b401de4745,Amenities,Toilet rolls/paper,00:20,No,Medium,HSK,Active,,
06 Sep 2024,3fd45aa0-89e9-42c1-bf2b-63bf525eba5d,Conceirge,Loan Umbrella,00:20,No,Medium,CONC,Active,,
06 Sep 2024,b9f009ef-5cb9-4fa8-a545-dd2e631783ae,Amenities,Insect repellent,00:20,No,Medium,HSK,Active,,
06 Sep 2024,eb684d26-041b-4e7e-ac5e-cb2ad1ad0c63,Amenities,Bath mat,00:20,No,Medium,HSK,Active,,
06 Sep 2024,b93985e8-8de1-4506-b5fa-0eba95c707a1,RoomService,Room service tray removal,00:20,No,Medium,RS,Active,,
06 Sep 2024,ea755e91-6c16-4bff-a714-a1dd2141a140,Amenities,Water,00:20,No,Medium,HSK,Active,,
06 Sep 2024,427251db-f9af-4b53-8705-109ca10d7ea5,Amenities,Weighting scale,00:20,No,Medium,HSK,Active,,
06 Sep 2024,42b72f0b-34d3-4161-8664-a360de2b030e,Maintenance,Can't close the minibar door,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,b89d1d30-f114-4ca9-ad6a-682ae118ecef,Amenities,More Body lotion,00:20,No,Medium,HSK,Active,,
06 Sep 2024,ea6483fd-433d-48a6-9ece-627511c7db6d,Amenities,Shoe horn,00:20,No,Medium,HSK,Active,,
06 Sep 2024,42ee74a5-4142-4935-8fc9-d91b412b24cb,Amenities,Corner guards,00:20,No,Medium,HSK,Active,,
06 Sep 2024,43486dc9-b9e4-4ef0-9fe4-7616224e3c43,Maintenance,Air conditioner is not cold,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,43e528e0-2a8b-4460-b073-378c9175e3bf,Amenities,Toothpicks,00:20,No,Medium,HSK,Active,,
06 Sep 2024,b7feb9fa-0843-406b-9503-dba2f4d54ed0,Amenities,Minibar content removal,00:20,No,Medium,HSK,Active,,
06 Sep 2024,e9ebc396-74f7-4af1-9149-22d40f9167a0,Amenities,Razor,00:20,No,Medium,HSK,Active,,
06 Sep 2024,4587a2fb-f456-4e56-b68d-19fad4109e67,Maintenance,Toilet seat cracked/broken,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,0740bddb-32e5-4b8c-9f60-2254658685c8,Laundry,Express laundry service,00:20,No,Medium,LDY,Active,,
06 Sep 2024,e9401875-090a-40a2-a17a-ff01b7729f72,RoomService,Check room service order status,00:20,No,Medium,RS,Active,,
06 Sep 2024,464cc06c-409a-4659-b477-ba5e8de39705,Amenities,Extra hangers,00:20,No,Medium,HSK,Active,,
06 Sep 2024,15294a3b-cddd-4b19-8d1a-1c49d567302b,Amenities,Complimentary Water,00:20,No,Medium,HSK,Active,,
06 Sep 2024,fdea601d-56b8-427b-bb8a-147c837fd4ce,Maintenance,Towel railing faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,46856439-f6f7-4975-ac3d-233654e903fe,Amenities,Change Pillows - Soft,00:20,No,Medium,HSK,Active,,
06 Sep 2024,b2c7f11e-1707-4c99-a05e-662cdd3b622d,Amenities,Tea Bags - Chamomile,00:20,No,Medium,HSK,Active,,
06 Sep 2024,b1edfa04-679a-4f74-bbfb-7a72a0229416,Maintenance,Toilet light is out of order,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,15fb03db-7359-440a-8261-e352ed7b310f,Conceirge,Tape to seal box,00:20,No,Medium,CONC,Active,,
06 Sep 2024,1605ceea-54be-4f9a-8a35-c702438d7d6d,Maintenance,Electric kettle faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,fa6d18f7-9906-46fc-8c08-52b14d5bfa05,Conceirge,Bandages for small cut,00:20,No,Medium,CONC,Active,,
06 Sep 2024,e92b1f00-a31f-4119-af21-10b31c5abb1f,Amenities,Tea Bags - Green Tea,00:20,No,Medium,HSK,Active,,
06 Sep 2024,4868ebff-7908-4fd9-aba2-eb8b42bd71c9,Laundry,Laundry list,00:20,No,Medium,LDY,Active,,
06 Sep 2024,48809055-3b70-45ee-93aa-9a12448c48f6,Amenities,Shoe mitt,00:20,No,Medium,HSK,Active,,
06 Sep 2024,165e541d-989b-4232-a6d2-4ec52ea621d1,Laundry,Report missing item in returned laundry,00:20,No,Medium,LDY,Active,,
06 Sep 2024,b127490e-60b8-4b04-aedb-91d46c47993e,Maintenance,Shower head loose,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,aeefc743-a8cb-4a7e-a793-94a2c9186630,Laundry,Pick up laundry,00:20,No,Medium,LDY,Active,,
06 Sep 2024,add794ed-6cfc-4b3c-a22f-d3ddfbdd0ae6,Amenities,Request for multi plug extension cord,00:20,No,Medium,HSK,Active,,
06 Sep 2024,aac2dca5-9e27-437f-971b-aff6f484a2c6,Maintenance,Bathroom lights are out of order,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,aa589a3b-f658-498f-b00d-e3c9978fb510,Maintenance,Air conditioner is faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,08408157-2e14-4722-8f89-da6e3bee87d9,Amenities,Dehumidifier,00:20,No,Medium,HSK,Active,,
06 Sep 2024,4c1ecaa4-2538-4242-a194-35bc7cb766f5,Maintenance,Ironing board replaced,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,aa0f55e7-ce8f-44d6-8546-1143f120fb08,Amenities,Ice bucket,00:20,No,Medium,HSK,Active,,
06 Sep 2024,aa055753-ca85-4a11-868b-e0abd75e34b9,Amenities,Comb,00:20,No,Medium,HSK,Active,,
06 Sep 2024,4dfae001-45a7-4576-a86d-5e327c3f480e,Amenities,Extra Pillow - Firm,00:20,No,Medium,HSK,Active,,
06 Sep 2024,f96bc8ad-a980-48a8-9e7c-c4ae8d52dfcf,Maintenance,Iron to be replaced,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,f8e9f709-9e4b-471f-81a1-33351d296a7d,Amenities,Bath towel extra,00:20,No,Medium,HSK,Active,,
06 Sep 2024,a6704051-f86a-48f4-a7c0-8a6355955d0b,Amenities,Shopping bag,00:20,No,Medium,HSK,Active,,
06 Sep 2024,a61739eb-46a4-4790-af20-d594215f204f,Conceirge,Help using the coffee machine,00:20,No,Medium,CONC,Active,,
06 Sep 2024,e8d7be57-83cd-4c8e-97fb-7fc1ceda053a,Amenities,Creamer sachets,00:20,No,Medium,HSK,Active,,
06 Sep 2024,e8b8fa53-1d07-46be-9c76-a0eb6abf6760,Amenities,Extra Pillow - Standard,00:20,No,Medium,HSK,Active,,
06 Sep 2024,50b269cc-6b53-4932-b6fb-041e8c47da3d,Amenities,Mouthwash,00:20,No,Medium,HSK,Active,,
06 Sep 2024,a53a00ac-426b-427f-9014-2c7a94771f3a,Amenities,Ice bucket and ice cubes,00:20,No,Medium,HSK,Active,,
06 Sep 2024,51485171-8263-40f4-b3f8-a63b4dc9194d,Amenities,Facial tissue,00:20,No,Medium,HSK,Active,,
06 Sep 2024,f5c81437-8652-4b26-b12a-0ca23226de4e,Laundry,Report issue with the returned laundry,00:20,No,Medium,LDY,Active,,
06 Sep 2024,a4691a3b-c9e7-4d7f-9986-145a1756f766,Conceirge,Newspaper -  The Business Times,00:20,No,Medium,CONC,Active,,
06 Sep 2024,51e437a2-c8c5-4edf-90d5-3e89337ad837,Maintenance,TV no sound,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,08caf027-3ac7-4b8d-98af-8a33b690081d,Amenities,Toothbrush set,00:20,No,Medium,HSK,Active,,
06 Sep 2024,f59ad5ca-5718-4b5d-ad41-26a1ced45b3c,Maintenance,Toilet flushing non stop,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,e774a16f-624f-46f8-9654-d77095dbfa0e,Amenities,Towels refresh,00:20,No,Medium,HSK,Active,,
06 Sep 2024,a129e9a8-5c12-49c6-84f1-53902327c853,Amenities,Loofah,00:20,No,Medium,HSK,Active,,
06 Sep 2024,548211bc-4cc2-43fb-aa5a-147978696f13,Conceirge,Late checkout,00:20,No,Medium,CONC,Active,,
06 Sep 2024,e4fc83ec-69f4-4484-bb19-ef971394147f,Amenities,Change Pillows - Standard,00:20,No,Medium,HSK,Active,,
06 Sep 2024,55887a77-0dd2-48ae-856e-db83ba6ce87d,Conceirge,Extend Stay,00:20,No,Medium,CONC,Active,,
06 Sep 2024,5651c530-d013-4485-8753-91fe55279ad9,Maintenance,Internet is slow,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,184b6f4b-8fce-4ed3-80bd-976afda66dd0,Amenities,Mineral Water,00:20,No,Medium,HSK,Active,,
06 Sep 2024,a10ce9b7-ca2b-492e-828a-01a5a76db3e4,Amenities,Coffee sachets,00:20,No,Medium,HSK,Active,,
06 Sep 2024,9f45cc5a-6f5e-46aa-b84c-7b6851359e8f,Laundry,Suit express dry clean,00:20,No,Medium,LDY,Active,,
06 Sep 2024,56cd018e-b49d-49b0-b32a-38d4225030cb,Amenities,Humidifier,00:20,No,Medium,HSK,Active,,
06 Sep 2024,9d7dcc3b-a688-4355-a101-f98985ddf02c,Maintenance,Shower drainage stuck,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,0a33a2a5-7cbf-4c2a-aa5f-ba0473aea916,Amenities,Clear dustbin,00:20,No,Medium,HSK,Active,,
06 Sep 2024,57c36a2e-993f-48ce-806f-0db2482819dc,Amenities,Shower cap,00:20,No,Medium,HSK,Active,,
06 Sep 2024,57ca93d3-7b96-4a34-874f-4acfb7d04789,Conceirge,Newspaper,00:20,No,Medium,CONC,Active,,
06 Sep 2024,e3c98a03-f0ba-4870-b92a-b0adf560ad95,Conceirge,Setup steam room in suite,00:20,No,Medium,CONC,Active,,
06 Sep 2024,9c4e3bf7-27b6-4257-8b22-c71b6aeb4f23,Maintenance,Bath tub stopper not working,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,18bb88f1-d95a-43b0-8758-3e01dac16812,Amenities,Razor and shaving cream,00:20,No,Medium,HSK,Active,,
06 Sep 2024,9b6a56ca-3f60-4e99-b386-34be9dc39b84,Amenities,Request for power adapter,00:20,No,Medium,HSK,Active,,
06 Sep 2024,59eac511-5e7d-40be-b97c-73bdda37dda5,Amenities,Ashtray,00:20,No,Medium,HSK,Active,,
06 Sep 2024,985b768b-1039-4f37-8f26-3768091b3b42,Amenities,Charging cable for iPhone,00:20,No,Medium,HSK,Active,,
06 Sep 2024,18da8416-6f10-4999-830b-14e2928b1654,Amenities,Electric kettle,00:20,No,Medium,HSK,Active,,
06 Sep 2024,18eb34ff-aba2-4489-8c73-a14eaaa2c884,Amenities,Extra Glasses,00:20,No,Medium,HSK,Active,,
06 Sep 2024,5a64f4a7-f34b-4288-8659-e0c7fb592760,Amenities,Notepad,00:20,No,Medium,HSK,Active,,
06 Sep 2024,958fea9e-fd1a-458b-86f9-1ae267316ea2,Conceirge,Wake up call,00:20,No,Medium,CONC,Active,,
06 Sep 2024,5ac0e0f5-58eb-467b-b99a-49496116bb5c,Amenities,Additional chair,00:20,No,Medium,HSK,Active,,
06 Sep 2024,5af163b9-a2b1-4285-8e2d-280eead5a06c,Amenities,Straws,00:20,No,Medium,HSK,Active,,
06 Sep 2024,953fff9d-b1a4-4ed3-8f88-bf72db0eda16,Maintenance,Coffee machine not working,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,94c0e50f-af96-44a3-b077-2d9e4127526e,Amenities,Hot water bag,00:20,No,Medium,HSK,Active,,
06 Sep 2024,5bfaa742-4a20-414d-8308-4a078c208d3f,Maintenance,TV remote Control Faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,e32f026f-3a07-4648-97a1-1398ff3554e9,Amenities,Milk - Oat,00:20,No,Medium,HSK,Active,,
06 Sep 2024,5c8ef9b6-e889-4bce-9a82-8a1f791cd768,Maintenance,Hand bidet is faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,93a5f359-b5ce-49dd-b042-6c7e38d44e93,Amenities,Ice bag,00:20,No,Medium,HSK,Active,,
06 Sep 2024,1924fb31-abe7-4daa-8235-51cc83608757,Laundry,Laundry bags,00:20,No,Medium,LDY,Active,,
06 Sep 2024,5cfca816-603b-44f2-b837-040f9bf4895b,Amenities,Make up room,00:20,No,Medium,HSK,Active,,
06 Sep 2024,5d5db8a9-8b1f-44ec-8128-38af53a13bb1,Amenities,Mosquito coils,00:20,No,Medium,HSK,Active,,
06 Sep 2024,193775e3-1172-4344-9a63-9b30c7904e63,Amenities,Child bathrobe,00:20,No,Medium,HSK,Active,,
06 Sep 2024,e24885c0-2a54-4307-bb79-869216482cda,Amenities,Coaster,00:20,No,Medium,HSK,Active,,
06 Sep 2024,5f683fc2-1994-4f91-9f6f-411b48f3a315,Amenities,Cotton buds,00:20,No,Medium,HSK,Active,,
06 Sep 2024,8edf50dd-155d-4e93-8c5f-48b1789e58ec,Maintenance,Balcony door faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,8e5a2b75-470b-47e7-b81a-60f210b27fe6,Amenities,Extra bed,00:20,No,Medium,HSK,Active,,
06 Sep 2024,e0d23688-5417-4fb0-a0b2-ccafd5481163,Maintenance,TV remote control is faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,8e54240b-4ebf-4836-8b35-3f1645b93ef5,Amenities,Baby potty,00:20,No,Medium,HSK,Active,,
06 Sep 2024,0a7edec6-a9a9-4d1a-bfed-fe76fc419496,Maintenance,Hair dryer not working,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,8dba1153-d031-4adb-9439-3827021e9778,Amenities,Travel power adapter,00:20,No,Medium,HSK,Active,,
06 Sep 2024,e0836794-667d-4fa5-9c90-9074f10d4ccd,Amenities,Glass tumbler in bathroom,00:20,No,Medium,HSK,Active,,
06 Sep 2024,8d34321c-4649-4413-a59c-11d0e634cb2d,Amenities,Sanitary pads,00:20,No,Medium,HSK,Active,,
06 Sep 2024,0a7fee2f-d815-41f2-9278-8f286b8cb484,Maintenance,Low water pressure from shower,00:20,No,Medium,FIX-IT,Active,,
06 Sep 2024,8cfbf804-1b68-4ef0-a192-9745020441b7,Amenities,Tea bags Chinese - Pu'er,00:20,No,Medium,HSK,Active,,
06 Sep 2024,62234224-9ef8-41d6-bccd-e5d5f2950424,Amenities,Milk - Low Fat,00:20,No,Medium,HSK,Active,,
06 Sep 2024,f5763e24-bc8e-4b8a-b354-a3e3034141c6,Maintenance,Guest cannot login to the internet,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,8c9168d2-8586-458a-95cc-f2cad974eda9,Conceirge,Setup dining room for dinner in suite,00:20,No,Medium,CONC,Active,,
06 Sep 2024,62faeaf1-dafe-4e83-9567-c8ea2b3992b7,Amenities,Wine glass,00:20,No,Medium,HSK,Active,,
06 Sep 2024,1a706e26-e81a-4dcb-92fc-750f4a9a49c1,Amenities,Tea Bags - Earl Gey,00:20,No,Medium,HSK,Active,,
06 Sep 2024,8bc5b9be-8c97-40a1-876f-d9c8fab6b2e7,Amenities,Shaving cream,00:20,No,Medium,HSK,Active,,
06 Sep 2024,8b60b474-1888-46e0-bb4e-ca91a77eb987,Maintenance,Room door faulty,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,636f7b0f-4214-445b-b2cb-ecc0141a3e37,Maintenance,Toilet clogged,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,8b2cf42b-5858-4ffa-8fbd-08f9a9eac7bf,Maintenance,No cold water in the shower,00:20,No,Medium,FIX-IT,Active,,
06 Sep 2024,8af70431-9a1d-4100-bd75-d13c1e9f431d,Conceirge,Shoes Shine Services,00:20,No,Medium,CONC,Active,,
06 Sep 2024,64179f1c-ea15-444b-b62e-e323739f328d,Amenities,Sanitary bags,00:20,No,Medium,HSK,Active,,
06 Sep 2024,8846ce1a-d2db-436f-8ad9-c2cde2af56c1,Maintenance,TV remote control no batteries,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,88245668-1cc7-46b8-99fd-01845939e62a,Amenities,Cotton pads,00:20,No,Medium,HSK,Active,,
06 Sep 2024,66eb5c22-8e4c-4538-8b81-9183b498acf4,Amenities,Combine the beds,00:20,No,Medium,HSK,Active,,
06 Sep 2024,1bd97bfa-fa51-4850-9558-706820fca5b3,Amenities,HDMI cable,00:20,No,Medium,HSK,Active,,
06 Sep 2024,1c14e907-d21c-4f07-ab63-3b99c2221cc8,Conceirge,Setup jacuzzi in suite,00:20,No,Medium,CONC,Active,,
06 Sep 2024,881956fd-d674-4cba-b22d-bec097621f2d,Conceirge,Setup poker table in suite,00:20,No,Medium,CONC,Active,,
06 Sep 2024,6915f8c8-b4ad-417d-8cc9-795cb5ffa63f,Amenities,Dental kit,00:20,No,Medium,HSK,Active,,
06 Sep 2024,1c955355-baa5-4d9c-be97-b63770b6369e,Amenities,Tea bags Chinese - Tie Guan Yin,00:20,No,Medium,HSK,Active,,
06 Sep 2024,85d4afe3-2a0d-4d33-9723-9e76d748318f,Conceirge,Request for city map,00:20,No,Medium,CONC,Active,,
06 Sep 2024,85500770-71b0-4ff3-8cb0-c66454ad7de0,Laundry,Pick up dry cleaning,00:20,No,Medium,LDY,Active,,
06 Sep 2024,1d83cd9f-efa5-4770-bacd-09854a43b26b,Amenities,Children bed rail,00:20,No,Medium,HSK,Active,,
06 Sep 2024,84db3864-6612-4396-ba8b-e746d271d5b6,Maintenance,Basin is stuck,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,1de267c8-c098-4d01-a7a6-aaaebd585dbf,Amenities,Spray air freshener in the room,00:20,No,Medium,HSK,Active,,
06 Sep 2024,6c1a2652-3e8a-4087-85c6-4683407f2145,Amenities,Change duvet,00:20,No,Medium,HSK,Active,,
06 Sep 2024,dd7c2ca8-fbc6-472f-8bc7-e39d14d758d3,Amenities,Hand towel,00:20,No,Medium,HSK,Active,,
06 Sep 2024,dbcc8175-99dc-4a23-8742-7c8af6f110a4,Amenities,Change the sheets,00:20,No,Medium,HSK,Active,,
06 Sep 2024,6ccc8135-12ee-44bd-ae8a-8672f95dbcc4,Amenities,Coat brush,00:20,No,Medium,HSK,Active,,
06 Sep 2024,dbb7e345-a84f-43f9-8ceb-3eaece198f41,Amenities,Change Blanket,00:20,No,Medium,HSK,Active,,
06 Sep 2024,6dccc8bc-2afc-4185-b899-e2ffc8f77808,Maintenance,No hot water in the shower,00:20,No,Medium,FIX-IT,Active,,
06 Sep 2024,0c93b44e-3055-46d0-9e37-e7cc1dfc298a,Amenities,Sugar sachet - white,00:20,No,Medium,HSK,Active,,
06 Sep 2024,82b07b5e-7b78-4abc-9ba8-6634afe0fe87,Laundry,Dry cleaning status,00:20,No,Medium,LDY,Active,,
06 Sep 2024,6ea9681a-ffcd-42b1-96b1-ff3fd4d486c3,Maintenance,Toilet is not flushing,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,82804f28-c6a1-43a0-a85e-6db16c7c3751,Amenities,Pencils,00:20,No,Medium,HSK,Active,,
06 Sep 2024,81c4fcd5-511e-4937-aefe-7d6060085001,Maintenance,Aircon dripping,00:20,No,Medium,MAINT,Active,,
06 Sep 2024,db12318a-8774-4cb5-bf72-7b8ad3bf3d60,Amenities,Coffee and creamer sachets,00:20,No,Medium,HSK,Active,,
06 Sep 2024,1f6dc81b-0d13-439e-93c2-cc29ebd51f83,Amenities,Minibar restocking / replenishment,00:20,No,Medium,HSK,Active,,
